topik_level,no,korean,english,source,source_doc,source_url
TOPIK I,128,공무원,public official,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,129,공부,study,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,130,공부하다,study,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,131,공연,"show, public performance",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,132,공원,park,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,133,공중전화,"payphone, public phone",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,134,공짜,free,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,135,공책,"notebook, note",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,136,공항,airport,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,137,공휴일,public holiday,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,138,과,division,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,139,과거,past,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,140,과일,fruit,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,141,과자,snack,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,142,과학,science,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,143,관계,relation,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,144,관광하다,"travel, sightsee",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,145,관심,"attention, interest",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,146,광고,advertisement,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,147,괜찮다,be okay,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,148,괜찮습니다,It's fine.,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,149,교과서,textbook,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,150,교수,professor,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,151,교실,classroom,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,152,교체,"substitute, change",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,153,교통,traffic,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,154,교통사고,traffic accident,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,155,교회,church,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,156,구,9,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,157,구경하다,take a look,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,158,구두,shoes,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,159,구름,cloud,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,160,구십,90,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,161,구월,September,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,162,구하다,"save, seek, get",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,163,국,soup,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,164,국내,domestic,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,165,국립,"nationalestablished, state",learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
TOPIK I,166,국수,noodle,learning-korean.com,TOPIK-I-1671.pdf,https://learning-korean.com/DL/TOPIK-I-1671.pdf
